incident_severity,insured_hobbies,incident_type,collision_type,incident_state,authorities_contacted,property_claim,vehicle_claim,policy_annual_premium,insured_zip,policy_number,total_claim_amount,months_as_customer,injury_claim,age,insured_occupation,capital-gains,fraud_reported
Total Loss,camping,Single Vehicle Collision,Front Collision,NY,Other,6940,48580,1342.72,445638,204294,62460,7,6940,21,machine-op-inspct,0,N
Total Loss,base-jumping,Multi-vehicle Collision,Side Collision,NY,Other,11420,39970,1209.41,476185,467106,62810,208,11420,36,machine-op-inspct,0,N
Major Damage,sleeping,Single Vehicle Collision,Front Collision,WV,Ambulance,6770,40620,1141.71,435995,357713,54160,126,6770,33,priv-house-serv,36700,N
Major Damage,golf,Single Vehicle Collision,Rear Collision,WV,Ambulance,4840,33880,1090.03,430232,890026,48400,48,9680,35,exec-managerial,0,N
Total Loss,golf,Multi-vehicle Collision,Side Collision,NY,Fire,5720,40040,1464.73,443861,751612,51480,297,5720,48,exec-managerial,54900,N
Total Loss,board-games,Multi-vehicle Collision,Rear Collision,NY,Fire,10340,36190,1118.58,460801,876680,51700,160,5170,36,prof-specialty,0,N
Total Loss,video-games,Multi-vehicle Collision,Front Collision,WV,Other,5460,49140,1117.04,605121,756981,65520,406,10920,58,exec-managerial,0,N
Major Damage,reading,Multi-vehicle Collision,Rear Collision,OH,Other,9540,33390,1257.83,458622,121439,47700,157,4770,31,farming-fishing,40700,Y
Minor Damage,video-games,Vehicle Theft,?,SC,,580,4060,1082.72,478661,411289,5220,146,580,31,machine-op-inspct,61400,N
Major Damage,exercise,Single Vehicle Collision,Side Collision,NY,Other,12220,54990,1191.8,435299,538466,73320,409,6110,57,protective-serv,55600,N
Minor Damage,dancing,Single Vehicle Collision,Front Collision,VA,Fire,7490,52430,1242.02,601961,932097,74900,252,14980,46,adm-clerical,0,N
Trivial Damage,dancing,Vehicle Theft,?,WV,Police,290,2320,1075.71,604328,463727,3190,6,580,27,prof-specialty,0,N
Minor Damage,exercise,Single Vehicle Collision,Rear Collision,NY,Ambulance,6410,57690,969.88,614385,552618,76920,103,12820,33,armed-forces,0,N
Total Loss,video-games,Multi-vehicle Collision,Front Collision,WV,Police,14180,56720,1459.93,438584,936638,77990,369,7090,53,priv-house-serv,0,N
Total Loss,base-jumping,Single Vehicle Collision,Front Collision,NY,Fire,9180,41310,1245.61,478703,348814,59670,261,9180,46,transport-moving,0,N
Major Damage,skydiving,Multi-vehicle Collision,Rear Collision,NY,Ambulance,4080,32640,1462.76,615683,944102,44880,159,8160,33,craft-repair,69200,Y
Minor Damage,skydiving,Single Vehicle Collision,Side Collision,NC,Ambulance,15060,60240,1398.46,455672,689901,82830,344,7530,51,sales,0,N
Minor Damage,cross-fit,Single Vehicle Collision,Front Collision,SC,Other,15360,61440,1269.64,602942,901083,84480,437,7680,60,armed-forces,48800,Y
Total Loss,skydiving,Multi-vehicle Collision,Side Collision,WV,Fire,7980,55860,1455.65,616706,396224,79800,65,15960,30,transport-moving,0,N
Minor Damage,exercise,Multi-vehicle Collision,Rear Collision,WV,Police,9640,33740,1140.31,473243,682178,53020,280,9640,41,adm-clerical,29300,N
Total Loss,sleeping,Multi-vehicle Collision,Side Collision,VA,Police,4400,17600,1330.46,435552,596298,24200,269,2200,45,machine-op-inspct,54800,N
Minor Damage,camping,Single Vehicle Collision,Rear Collision,OH,Fire,7860,27510,1190.6,434206,253005,43230,275,7860,40,exec-managerial,0,N
Trivial Damage,cross-fit,Vehicle Theft,?,NC,,580,2320,972.5,469895,985924,3190,265,290,45,exec-managerial,0,N
Minor Damage,polo,Parked Car,?,WV,,650,3900,1161.91,457722,631565,5850,283,1300,43,adm-clerical,0,N
Trivial Damage,video-games,Parked Car,?,SC,Police,1240,4960,1117.17,473645,630998,6820,84,620,29,machine-op-inspct,0,N
Minor Damage,camping,Multi-vehicle Collision,Front Collision,NY,Fire,11580,46320,1101.51,619108,926665,69480,247,11580,44,farming-fishing,64000,N
Major Damage,movies,Multi-vehicle Collision,Front Collision,PA,Fire,15760,70920,1523.17,610479,302669,94560,56,7880,29,prof-specialty,0,N
Minor Damage,paintball,Vehicle Theft,?,NC,,780,6240,984.45,474998,620020,7800,210,780,39,armed-forces,0,N
Total Loss,basketball,Single Vehicle Collision,Front Collision,WV,Other,11140,44560,1257.0,616341,439828,61270,108,5570,32,machine-op-inspct,63900,N
Total Loss,bungie-jumping,Single Vehicle Collision,Rear Collision,NY,Police,8930,53580,1434.51,460535,971295,71440,328,8930,49,transport-moving,0,N
Total Loss,exercise,Single Vehicle Collision,Rear Collision,NY,Ambulance,5560,38920,1628.0,606487,165565,55600,186,11120,37,priv-house-serv,0,N
Trivial Damage,board-games,Vehicle Theft,?,NC,Police,500,3500,1412.31,620737,936543,5000,277,1000,44,priv-house-serv,0,N
Minor Damage,paintball,Single Vehicle Collision,Side Collision,NY,Other,14740,66330,1362.87,445904,296960,95810,138,14740,33,exec-managerial,56900,N
Major Damage,chess,Single Vehicle Collision,Rear Collision,SC,Ambulance,13860,48510,1134.68,464145,501692,69300,208,6930,41,tech-support,0,N
Total Loss,video-games,Single Vehicle Collision,Front Collision,SC,Ambulance,20280,47320,1306.78,466818,525224,81120,147,13520,37,prof-specialty,0,N
Major Damage,hiking,Single Vehicle Collision,Front Collision,WV,Other,14040,63180,1021.9,464237,355085,91260,8,14040,21,handlers-cleaners,0,N
Minor Damage,kayaking,Single Vehicle Collision,Side Collision,SC,Fire,12120,42420,1538.6,618455,830729,60600,297,6060,48,other-service,0,N
Major Damage,base-jumping,Multi-vehicle Collision,Front Collision,NY,Ambulance,12960,45360,1354.5,456602,651948,64800,150,6480,31,machine-op-inspct,52800,Y
Major Damage,basketball,Multi-vehicle Collision,Side Collision,WV,Police,12160,48640,1282.93,616126,424358,66880,4,6080,34,exec-managerial,0,Y
Total Loss,cross-fit,Single Vehicle Collision,Front Collision,WV,Ambulance,5820,46560,1346.27,468508,131478,58200,210,5820,35,farming-fishing,44900,N
Minor Damage,polo,Single Vehicle Collision,Side Collision,NC,Police,6730,47110,1338.4,431937,268833,60570,91,6730,31,priv-house-serv,63600,N
Major Damage,camping,Multi-vehicle Collision,Rear Collision,NC,Ambulance,8710,52260,949.44,448603,287489,69680,167,8710,36,exec-managerial,0,Y
Total Loss,bungie-jumping,Single Vehicle Collision,Front Collision,NY,Fire,11140,38990,977.4,444500,808153,55700,467,5570,58,transport-moving,82200,N
Total Loss,sleeping,Multi-vehicle Collision,Front Collision,OH,Ambulance,5670,51030,1181.46,601117,687639,62370,264,5670,47,transport-moving,0,N
Total Loss,yachting,Multi-vehicle Collision,Side Collision,VA,Other,0,44460,1187.53,615383,497347,54340,270,9880,45,priv-house-serv,83200,N
Major Damage,base-jumping,Single Vehicle Collision,Front Collision,NC,Police,6130,42910,845.16,434342,439660,55170,310,6130,48,priv-house-serv,0,Y
Minor Damage,exercise,Single Vehicle Collision,Front Collision,NY,Other,5850,40950,1442.27,435100,847123,58500,143,11700,34,priv-house-serv,67900,N
Major Damage,skydiving,Single Vehicle Collision,Rear Collision,NC,Fire,6660,46620,1276.43,431278,172307,59940,146,6660,32,priv-house-serv,0,N
Total Loss,reading,Single Vehicle Collision,Side Collision,PA,Police,7340,58720,1075.41,445648,810189,73400,102,7340,28,machine-op-inspct,55200,N
Major Damage,bungie-jumping,Single Vehicle Collision,Side Collision,PA,Fire,4650,32550,1111.72,448857,432068,41850,61,4650,23,exec-managerial,54600,N
Trivial Damage,chess,Parked Car,?,NC,Police,1280,4480,814.96,435267,903203,6400,255,640,44,priv-house-serv,68500,Y
Trivial Damage,sleeping,Vehicle Theft,?,WV,Police,290,2320,1575.86,461275,253085,3190,211,580,40,other-service,0,N
Trivial Damage,polo,Parked Car,?,VA,,590,4720,1115.27,613816,180720,5900,61,590,29,handlers-cleaners,0,N
Total Loss,yachting,Single Vehicle Collision,Rear Collision,NY,Fire,6370,44590,1175.7,608767,492224,57330,108,6370,31,protective-serv,0,N
Total Loss,board-games,Multi-vehicle Collision,Front Collision,WV,Other,13660,54640,793.15,620869,411477,81960,303,13660,50,tech-support,54600,N
Major Damage,exercise,Single Vehicle Collision,Side Collision,SC,Fire,19200,44800,942.51,478981,107181,70400,152,6400,33,transport-moving,0,Y
Minor Damage,paintball,Parked Car,?,VA,,580,2610,1056.71,464630,312940,3770,120,580,34,protective-serv,77900,N
Minor Damage,reading,Parked Car,?,NC,,1480,5180,1255.68,466303,855186,7400,144,740,36,sales,23600,N
Total Loss,chess,Single Vehicle Collision,Rear Collision,SC,Police,6090,42630,1335.13,452647,373935,54810,414,6090,52,farming-fishing,44000,Y
Total Loss,dancing,Single Vehicle Collision,Rear Collision,NY,Fire,9880,34580,1178.95,441370,812989,49400,163,4940,37,priv-house-serv,0,N
Minor Damage,exercise,Single Vehicle Collision,Front Collision,NC,Fire,6250,50000,1793.16,619166,993840,68750,352,12500,53,tech-support,0,N
Total Loss,yachting,Single Vehicle Collision,Front Collision,SC,Ambulance,6150,43050,1008.38,472803,327856,61500,27,12300,32,adm-clerical,37900,N
Major Damage,reading,Multi-vehicle Collision,Rear Collision,WV,Ambulance,13980,55920,1396.83,442308,506333,76890,239,6990,39,other-service,0,N
Minor Damage,base-jumping,Single Vehicle Collision,Rear Collision,NY,Ambulance,12460,37380,1402.78,469383,263159,56070,33,6230,32,other-service,70300,N
Total Loss,reading,Single Vehicle Collision,Side Collision,SC,Fire,0,42000,1437.88,614383,372912,56000,88,14000,30,transport-moving,42800,N
Trivial Damage,board-games,Parked Car,?,NY,,390,3120,1313.64,438617,552788,4290,101,780,33,priv-house-serv,12100,N
Total Loss,reading,Multi-vehicle Collision,Rear Collision,NY,Other,6750,47250,1482.14,613936,722747,60750,20,6750,37,transport-moving,33000,N
Minor Damage,board-games,Single Vehicle Collision,Side Collision,NY,Other,4430,39870,1171.75,472163,248467,48730,126,4430,30,machine-op-inspct,46500,N
Minor Damage,video-games,Multi-vehicle Collision,Front Collision,WV,Police,17300,60550,1353.33,447458,955953,95150,264,17300,43,adm-clerical,0,N
Minor Damage,yachting,Vehicle Theft,?,NY,Police,680,6120,1175.51,474792,910622,7480,78,680,24,craft-repair,0,N
Major Damage,movies,Single Vehicle Collision,Side Collision,NC,Ambulance,6650,59850,1836.02,470559,137675,79800,123,13300,28,transport-moving,38000,Y
Total Loss,board-games,Single Vehicle Collision,Side Collision,NC,Other,17260,77670,1480.79,432399,343421,103560,347,8630,51,priv-house-serv,0,N
Minor Damage,yachting,Single Vehicle Collision,Side Collision,NY,Ambulance,7950,55650,1453.92,607605,413192,79500,163,15900,38,other-service,51700,N
Minor Damage,base-jumping,Single Vehicle Collision,Rear Collision,SC,Other,13860,55440,1340.71,600153,247801,76230,271,6930,44,tech-support,0,Y
Minor Damage,board-games,Single Vehicle Collision,Side Collision,WV,Ambulance,9920,39680,714.03,465979,171147,59520,410,9920,54,protective-serv,0,N
Major Damage,hiking,Multi-vehicle Collision,Front Collision,SC,Police,5970,35820,1376.16,466555,431283,47760,448,5970,57,tech-support,38600,Y
Total Loss,golf,Multi-vehicle Collision,Side Collision,NY,Police,7690,61520,914.22,444155,461962,84590,218,15380,41,prof-specialty,37900,N
Total Loss,skydiving,Multi-vehicle Collision,Front Collision,SC,Other,6850,47950,1601.47,465764,149467,61650,43,6850,38,handlers-cleaners,64400,N
Major Damage,dancing,Single Vehicle Collision,Rear Collision,VA,Police,8140,65120,1096.79,446898,758740,81400,33,8140,33,handlers-cleaners,45500,N
Major Damage,camping,Multi-vehicle Collision,Side Collision,SC,Fire,5310,42480,1078.22,453274,628337,58410,126,10620,34,transport-moving,54500,N
Major Damage,exercise,Multi-vehicle Collision,Side Collision,VA,Ambulance,3510,31590,1595.28,479320,574637,38610,411,3510,56,protective-serv,0,N
Minor Damage,yachting,Multi-vehicle Collision,Front Collision,WV,Fire,9600,38400,1217.84,443462,373600,57600,225,9600,37,farming-fishing,49600,N
Minor Damage,kayaking,Multi-vehicle Collision,Side Collision,NC,Fire,11820,35460,1117.42,446158,930032,53190,35,5910,35,protective-serv,0,N
Major Damage,skydiving,Single Vehicle Collision,Front Collision,NY,Other,11660,40810,1567.37,602514,396590,58300,460,5830,57,craft-repair,62500,Y
Minor Damage,video-games,Multi-vehicle Collision,Front Collision,WV,Ambulance,0,57440,1294.93,477356,238412,64620,195,7180,38,tech-support,38000,N
Total Loss,hiking,Multi-vehicle Collision,Side Collision,WV,Ambulance,15080,60320,1152.12,434669,484321,90480,360,15080,51,armed-forces,0,N
Trivial Damage,kayaking,Vehicle Theft,?,SC,,1180,4720,1441.21,609322,795847,7080,300,1180,49,farming-fishing,0,N
Minor Damage,chess,Parked Car,?,PA,Police,1180,4720,1575.74,614265,218456,6490,245,590,42,exec-managerial,0,Y
Total Loss,golf,Multi-vehicle Collision,Side Collision,NC,Police,5590,44720,1233.96,606177,792673,55900,146,5590,36,other-service,34500,N
Major Damage,polo,Single Vehicle Collision,Rear Collision,SC,Other,6380,51040,1861.43,461514,662256,63800,67,6380,29,adm-clerical,60400,Y
Total Loss,cross-fit,Single Vehicle Collision,Side Collision,VA,Police,7270,43620,1570.86,454685,971338,58160,380,7270,56,farming-fishing,66000,Y
Minor Damage,chess,Vehicle Theft,?,NC,Police,1260,4410,791.47,477260,714738,6300,389,630,53,armed-forces,0,Y
Major Damage,yachting,Single Vehicle Collision,Front Collision,WV,Fire,19020,66570,1012.78,469126,753844,104610,317,19020,46,sales,43700,Y
Major Damage,sleeping,Multi-vehicle Collision,Rear Collision,SC,Fire,6350,50800,1047.06,443402,976645,69850,264,12700,44,exec-managerial,0,N
Minor Damage,polo,Single Vehicle Collision,Rear Collision,PA,Fire,6290,44030,1390.29,479408,918037,62900,20,12580,21,priv-house-serv,0,N
Major Damage,golf,Multi-vehicle Collision,Front Collision,WV,Other,6630,46410,951.46,467227,996253,59670,116,6630,30,handlers-cleaners,0,Y
Minor Damage,camping,Multi-vehicle Collision,Rear Collision,NY,Other,8150,57050,1226.78,468433,373731,81500,222,16300,40,armed-forces,49600,N
Minor Damage,video-games,Single Vehicle Collision,Rear Collision,NC,Ambulance,5000,30000,1280.9,604289,836272,50000,439,15000,56,armed-forces,48900,N
Total Loss,exercise,Single Vehicle Collision,Front Collision,NY,Other,8780,30730,1472.77,471366,167231,48290,66,8780,28,adm-clerical,0,N
Total Loss,golf,Single Vehicle Collision,Rear Collision,VA,Fire,5370,48330,1878.44,450746,743330,59070,128,5370,29,other-service,0,N
Minor Damage,yachting,Multi-vehicle Collision,Rear Collision,NY,Police,6330,44310,1418.5,614948,807369,63300,69,12660,24,armed-forces,0,N
Total Loss,exercise,Single Vehicle Collision,Side Collision,SC,Other,11960,41860,1532.8,473935,735307,65780,294,11960,46,prof-specialty,0,N
Total Loss,cross-fit,Multi-vehicle Collision,Front Collision,NY,Ambulance,11600,52200,1304.35,617267,789208,75400,19,11600,29,transport-moving,0,Y
Minor Damage,movies,Vehicle Theft,?,WV,,250,1750,1551.61,470670,585324,2250,191,250,33,armed-forces,45000,N
Minor Damage,reading,Multi-vehicle Collision,Front Collision,VA,Ambulance,9020,40590,1326.98,450368,498759,54120,4,4510,39,machine-op-inspct,64200,N
Major Damage,camping,Multi-vehicle Collision,Side Collision,NY,Other,11580,46320,862.92,448809,795004,69480,298,11580,49,machine-op-inspct,0,N
Minor Damage,reading,Single Vehicle Collision,Rear Collision,NY,Police,10300,46350,1331.69,469653,203250,66950,231,10300,43,adm-clerical,0,N
Major Damage,board-games,Multi-vehicle Collision,Rear Collision,OH,Other,6410,44870,1486.04,615688,430794,64100,338,12820,47,armed-forces,0,Y
Minor Damage,camping,Single Vehicle Collision,Rear Collision,SC,Other,13380,53520,870.55,465631,156636,80280,261,13380,46,prof-specialty,0,N
Trivial Damage,hiking,Vehicle Theft,?,NY,Police,0,4160,1344.56,443344,284143,4680,321,520,44,machine-op-inspct,0,N
Minor Damage,base-jumping,Multi-vehicle Collision,Rear Collision,NY,Ambulance,6620,26480,1377.04,441363,740518,39720,0,6620,32,tech-support,61400,N
Major Damage,exercise,Single Vehicle Collision,Front Collision,NY,Police,5780,52020,1237.88,462683,445289,63580,405,5780,58,exec-managerial,0,Y
Minor Damage,camping,Single Vehicle Collision,Side Collision,NC,Other,6670,53360,1525.86,463184,599262,73370,304,13340,49,craft-repair,0,N
Minor Damage,paintball,Single Vehicle Collision,Side Collision,SC,Police,23670,55230,854.58,612826,357949,86790,1,7890,29,craft-repair,52200,N
Major Damage,sleeping,Single Vehicle Collision,Side Collision,WV,Police,4980,34860,770.76,433155,493161,49800,26,9960,39,tech-support,0,N
Major Damage,exercise,Single Vehicle Collision,Side Collision,WV,Other,14080,56320,1132.74,616120,320251,77440,202,7040,38,armed-forces,0,N
Total Loss,board-games,Single Vehicle Collision,Front Collision,SC,Other,0,34320,1173.37,461744,231127,42900,289,8580,48,handlers-cleaners,0,N
Major Damage,skydiving,Multi-vehicle Collision,Rear Collision,VA,Fire,5980,35880,1188.28,475916,766193,53820,61,11960,26,farming-fishing,0,Y
Minor Damage,reading,Single Vehicle Collision,Rear Collision,WV,Police,6370,38220,876.88,454434,555374,57330,334,12740,46,sales,0,N
Minor Damage,paintball,Multi-vehicle Collision,Rear Collision,NY,Police,5930,41510,1143.95,464353,491484,53370,12,5930,24,tech-support,51400,N
Minor Damage,yachting,Single Vehicle Collision,Front Collision,NY,Police,14520,38720,1409.06,610302,925128,62920,86,9680,29,prof-specialty,74200,N
Total Loss,board-games,Multi-vehicle Collision,Front Collision,NY,Fire,12320,43120,1070.63,462106,265093,61600,83,6160,24,machine-op-inspct,0,N
Total Loss,golf,Multi-vehicle Collision,Rear Collision,NY,Police,12360,55620,916.13,431389,267808,74160,126,6180,30,sales,55300,N
Total Loss,reading,Single Vehicle Collision,Rear Collision,WV,Police,8900,62300,1191.5,442866,116735,80100,209,8900,38,priv-house-serv,38600,N
Trivial Damage,paintball,Parked Car,?,NY,Police,820,4920,1474.66,446755,963680,6560,283,820,48,sales,0,N
Total Loss,hiking,Single Vehicle Collision,Rear Collision,WV,Ambulance,5880,41160,1193.45,464743,445694,58800,194,11760,34,other-service,0,N
Minor Damage,chess,Multi-vehicle Collision,Side Collision,PA,Ambulance,5970,35820,1437.53,437889,215534,53730,184,11940,38,transport-moving,0,Y
Total Loss,cross-fit,Single Vehicle Collision,Rear Collision,NY,Ambulance,10100,45450,1304.83,473638,232854,60600,479,5050,60,other-service,0,N
Total Loss,movies,Single Vehicle Collision,Side Collision,NY,Other,3250,26000,1168.8,444232,168260,35750,284,6500,48,tech-support,0,N
Total Loss,exercise,Single Vehicle Collision,Front Collision,WV,Ambulance,7140,32130,1164.97,477695,538955,42840,65,3570,27,adm-clerical,43000,N
Major Damage,hiking,Multi-vehicle Collision,Front Collision,SC,Fire,14660,58640,1232.72,458237,243226,87960,222,14660,39,armed-forces,87800,Y
Minor Damage,camping,Multi-vehicle Collision,Rear Collision,SC,Ambulance,4780,38240,1800.76,441499,246435,47800,196,4780,41,protective-serv,0,N
Trivial Damage,exercise,Vehicle Theft,?,NY,Police,640,2560,1187.01,613436,582480,3840,253,640,43,tech-support,46300,N
Total Loss,hiking,Single Vehicle Collision,Front Collision,NY,Fire,7000,56000,1559.34,448912,345539,77000,280,14000,43,transport-moving,0,N
Total Loss,skydiving,Single Vehicle Collision,Rear Collision,WV,Ambulance,16020,56070,1137.02,468872,924318,88110,5,16020,26,farming-fishing,31500,N
Minor Damage,hiking,Multi-vehicle Collision,Rear Collision,SC,Fire,4340,39060,1281.72,619811,726880,47740,220,4340,42,farming-fishing,33500,N
Total Loss,video-games,Multi-vehicle Collision,Rear Collision,SC,Fire,10720,42880,796.35,614166,190588,58960,85,5360,30,craft-repair,72400,N
Minor Damage,skydiving,Parked Car,?,NC,Police,240,1440,1270.02,456600,246705,2160,266,480,46,tech-support,0,N
Trivial Damage,exercise,Vehicle Theft,?,SC,Police,1060,5300,1383.13,618405,619589,6890,41,530,26,prof-specialty,46700,N
Major Damage,kayaking,Multi-vehicle Collision,Side Collision,VA,Ambulance,14340,57360,1290.74,430832,164988,78870,316,7170,45,prof-specialty,58300,N
Trivial Damage,basketball,Vehicle Theft,?,SC,Police,300,2100,1216.68,610989,729534,2700,285,300,47,sales,55100,N
Total Loss,kayaking,Single Vehicle Collision,Front Collision,WV,Ambulance,6330,63300,1251.16,447750,505014,75960,379,6330,54,machine-op-inspct,41400,N
Major Damage,video-games,Single Vehicle Collision,Front Collision,WV,Police,13740,54960,1586.41,608708,920826,75570,15,6870,34,sales,33500,Y
Minor Damage,exercise,Single Vehicle Collision,Front Collision,SC,Police,15040,60160,1526.11,469650,534982,90240,354,15040,48,sales,0,N
Major Damage,dancing,Single Vehicle Collision,Front Collision,SC,Ambulance,7360,58880,1028.44,602304,110408,80960,342,14720,53,prof-specialty,0,N
Total Loss,skydiving,Multi-vehicle Collision,Front Collision,VA,Other,13180,59310,1555.94,459878,283052,79080,169,6590,38,craft-repair,23300,N
Minor Damage,paintball,Vehicle Theft,?,SC,,620,4960,1570.77,441142,840806,6820,339,1240,49,adm-clerical,98800,N
Total Loss,sleeping,Multi-vehicle Collision,Rear Collision,WV,Fire,11380,45520,1170.53,465667,382394,62590,259,5690,42,armed-forces,65000,N
Major Damage,dancing,Single Vehicle Collision,Side Collision,NY,Other,6550,39300,1099.95,473109,876699,52400,65,6550,23,sales,0,Y
Major Damage,basketball,Multi-vehicle Collision,Front Collision,WV,Ambulance,11560,46240,1472.43,619794,871432,63580,254,5780,46,tech-support,0,N
Minor Damage,reading,Multi-vehicle Collision,Side Collision,NY,Police,6140,49120,1275.62,602258,379882,61400,440,6140,55,priv-house-serv,0,N
Minor Damage,paintball,Parked Car,?,VA,,470,3290,1292.3,479724,852002,4700,478,940,63,adm-clerical,47600,Y
Total Loss,hiking,Single Vehicle Collision,Front Collision,SC,Fire,13480,47180,1009.37,442210,372891,74140,230,13480,44,prof-specialty,45400,N
Major Damage,reading,Single Vehicle Collision,Front Collision,VA,Other,13860,62370,1093.07,463291,689034,83160,138,6930,30,other-service,27700,N
Trivial Damage,paintball,Parked Car,?,NC,Police,830,8300,1325.44,474898,743092,10790,239,1660,41,farming-fishing,51400,N
Major Damage,paintball,Multi-vehicle Collision,Rear Collision,NC,Police,8740,30590,1017.18,431354,599174,48070,93,8740,31,prof-specialty,0,N
Minor Damage,golf,Multi-vehicle Collision,Rear Collision,SC,Ambulance,11340,34020,1221.17,617460,421092,51030,37,5670,25,protective-serv,49300,N
Minor Damage,yachting,Single Vehicle Collision,Front Collision,VA,Fire,5410,37870,1927.87,609317,349658,43280,254,0,40,prof-specialty,0,Y
Major Damage,paintball,Single Vehicle Collision,Front Collision,SC,Fire,7640,53480,978.27,479821,811042,76400,131,15280,29,sales,65700,N
Total Loss,board-games,Single Vehicle Collision,Side Collision,VA,Ambulance,13720,48020,1221.14,473394,505316,75460,230,13720,43,prof-specialty,48100,N
Major Damage,polo,Multi-vehicle Collision,Side Collision,OH,Other,6900,48300,1255.62,603882,116645,69000,313,13800,50,armed-forces,0,Y
Minor Damage,golf,Vehicle Theft,?,VA,Police,720,6480,999.52,615229,950880,8640,210,1440,38,tech-support,0,N
Minor Damage,dancing,Multi-vehicle Collision,Rear Collision,SC,Ambulance,12220,42770,1380.89,620197,788502,67210,101,12220,29,armed-forces,30000,N
Total Loss,basketball,Multi-vehicle Collision,Side Collision,NC,Ambulance,4250,34000,1010.77,438215,627486,42500,153,4250,37,transport-moving,52300,N
Minor Damage,basketball,Single Vehicle Collision,Rear Collision,SC,Fire,7200,64800,1205.86,444583,498842,86400,337,14400,53,armed-forces,0,N
Minor Damage,chess,Vehicle Theft,?,SC,Police,840,2940,1526.61,471866,550294,4620,360,840,51,handlers-cleaners,0,Y
Trivial Damage,camping,Parked Car,?,NC,Police,1260,5040,1496.44,616884,328387,6930,428,630,53,tech-support,0,N
Minor Damage,hiking,Multi-vehicle Collision,Side Collision,SC,Other,8340,25020,1256.2,448310,540152,41700,204,8340,40,sales,0,N
Major Damage,board-games,Single Vehicle Collision,Rear Collision,NY,Other,14060,49210,1268.35,478902,385932,77330,364,14060,51,transport-moving,0,Y
Trivial Damage,sleeping,Vehicle Theft,?,WV,Police,450,3600,1421.59,442695,618682,4950,185,900,35,other-service,0,N
Minor Damage,polo,Vehicle Theft,?,NC,Police,860,3440,1500.04,613826,550930,5160,63,860,26,craft-repair,0,N
Total Loss,yachting,Multi-vehicle Collision,Side Collision,WV,Fire,2730,19110,1433.24,476203,998192,24570,210,2730,35,exec-managerial,0,Y
Minor Damage,movies,Multi-vehicle Collision,Rear Collision,WV,Ambulance,9760,39040,1231.25,604333,663938,53680,194,4880,38,craft-repair,46500,N
Total Loss,bungie-jumping,Multi-vehicle Collision,Side Collision,WV,Police,3900,35100,1135.43,442604,756870,42900,294,3900,49,farming-fishing,22700,N
Minor Damage,chess,Single Vehicle Collision,Front Collision,NY,Fire,8410,58870,945.73,435663,337158,84100,272,16820,41,protective-serv,38600,Y
Total Loss,dancing,Single Vehicle Collision,Front Collision,NY,Fire,6840,47880,1118.76,470866,919875,61560,27,6840,27,adm-clerical,0,N
Minor Damage,hiking,Single Vehicle Collision,Rear Collision,NY,Police,5530,33180,1231.98,612908,315631,44240,251,5530,39,other-service,0,N
Minor Damage,hiking,Multi-vehicle Collision,Rear Collision,VA,Ambulance,5770,40390,1005.47,441871,113464,57700,180,11540,33,protective-serv,58100,N
Minor Damage,exercise,Single Vehicle Collision,Side Collision,WV,Other,16620,74790,1108.97,431496,556415,108030,392,16620,50,exec-managerial,68400,N
Minor Damage,dancing,Single Vehicle Collision,Rear Collision,SC,Fire,5430,38010,1392.39,436499,250249,54300,143,10860,30,exec-managerial,0,N
Major Damage,movies,Multi-vehicle Collision,Front Collision,SC,Ambulance,5380,21520,1317.97,469853,403776,32280,371,5380,54,craft-repair,34700,Y
Total Loss,camping,Multi-vehicle Collision,Rear Collision,WV,Other,8460,59220,1588.22,605369,396002,84600,292,16920,42,machine-op-inspct,0,N
Total Loss,camping,Single Vehicle Collision,Front Collision,SC,Other,6970,55760,900.02,448466,976908,69700,165,6970,35,craft-repair,0,N
Total Loss,movies,Multi-vehicle Collision,Rear Collision,WV,Ambulance,7280,25480,1744.64,432786,509489,36400,158,3640,33,prof-specialty,0,N
Minor Damage,paintball,Multi-vehicle Collision,Side Collision,SC,Police,4690,28140,1260.56,473591,485295,37520,241,4690,39,adm-clerical,0,N
Major Damage,paintball,Multi-vehicle Collision,Side Collision,NY,Ambulance,14380,50330,1021.14,618418,361829,79090,103,14380,33,other-service,69500,N
Major Damage,board-games,Single Vehicle Collision,Rear Collision,NY,Other,15060,45180,1285.09,444558,603632,67770,402,7530,54,farming-fishing,48000,Y
Total Loss,chess,Single Vehicle Collision,Side Collision,OH,Other,4740,33180,1537.07,457733,783494,47400,102,9480,32,tech-support,0,Y
Total Loss,skydiving,Single Vehicle Collision,Front Collision,SC,Other,14220,49770,1022.42,466161,439049,71100,182,7110,40,other-service,50000,N
Minor Damage,dancing,Single Vehicle Collision,Front Collision,NY,Police,6940,48580,1558.86,450800,502634,69400,282,13880,46,other-service,51100,N
Major Damage,board-games,Multi-vehicle Collision,Rear Collision,SC,Other,10000,40000,1757.87,458993,378588,55000,222,5000,39,transport-moving,71400,Y
Total Loss,polo,Multi-vehicle Collision,Rear Collision,WV,Police,7860,35370,973.5,468634,794731,51090,415,7860,52,machine-op-inspct,50400,N
Major Damage,camping,Single Vehicle Collision,Side Collision,NY,Fire,19260,38520,1430.8,461264,641934,64200,51,6420,34,machine-op-inspct,0,Y
Total Loss,base-jumping,Single Vehicle Collision,Front Collision,NC,Other,12240,42840,1192.27,600184,113516,67320,255,12240,45,sales,0,N
